image,obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
D:\Yannick\taak_Noor\humanstim\humanstim\580\e7\a_background\loc2\image141.png,580,e7,a_background,2,cab,ppn18,grandpiano,0
D:\Yannick\taak_Noor\humanstim\humanstim\580\e8\t_background\loc6\image065.png,580,e8,t_background,6,pirateship,ppn18,grandpiano,0
D:\Yannick\taak_Noor\humanstim\humanstim\580\e9\w_background\loc4\image065.png,580,e9,w_background,4,grandpiano,ppn18,grandpiano,1
D:\Yannick\taak_Noor\humanstim\humanstim\621\e1\a_background\loc3\image102.png,621,e1,a_background,3,screen,ppn18,laptop,0
D:\Yannick\taak_Noor\humanstim\humanstim\621\e2\t_background\loc9\image019.png,621,e2,t_background,9,pirateship,ppn18,laptop,0
D:\Yannick\taak_Noor\humanstim\humanstim\621\e3\w_background\loc5\image050.png,621,e3,w_background,5,laptop,ppn18,laptop,1
D:\Yannick\taak_Noor\humanstim\humanstim\621\e4\a_background\loc7\image138.png,621,e4,a_background,7,screen,ppn18,laptop,0
D:\Yannick\taak_Noor\humanstim\humanstim\621\e5\t_background\loc4\image062.png,621,e5,t_background,4,laptop,ppn18,laptop,1
D:\Yannick\taak_Noor\humanstim\humanstim\621\e6\w_background\loc6\image050.png,621,e6,w_background,6,laptop,ppn18,laptop,1
D:\Yannick\taak_Noor\humanstim\humanstim\621\e7\a_background\loc2\image104.png,621,e7,a_background,2,laptop,ppn18,laptop,1
D:\Yannick\taak_Noor\humanstim\humanstim\621\e8\t_background\loc1\image050.png,621,e8,t_background,1,pirateship,ppn18,laptop,0
D:\Yannick\taak_Noor\humanstim\humanstim\621\e9\w_background\loc8\image050.png,621,e9,w_background,8,laptop,ppn18,laptop,1
D:\Yannick\taak_Noor\humanstim\humanstim\628\e1\a_background\loc6\image072.png,628,e1,a_background,6,cab,ppn18,limousine,0
D:\Yannick\taak_Noor\humanstim\humanstim\628\e2\t_background\loc1\image013.png,628,e2,t_background,1,canoe,ppn18,limousine,0
D:\Yannick\taak_Noor\humanstim\humanstim\628\e3\w_background\loc9\image013.png,628,e3,w_background,9,limousine,ppn18,limousine,1
D:\Yannick\taak_Noor\humanstim\humanstim\628\e4\a_background\loc5\image135.png,628,e4,a_background,5,limousine,ppn18,limousine,1
D:\Yannick\taak_Noor\humanstim\humanstim\628\e5\t_background\loc3\image007.png,628,e5,t_background,3,pirateship,ppn18,limousine,0
D:\Yannick\taak_Noor\humanstim\humanstim\628\e6\w_background\loc2\image013.png,628,e6,w_background,2,limousine,ppn18,limousine,1
D:\Yannick\taak_Noor\humanstim\humanstim\628\e7\a_background\loc7\image097.png,628,e7,a_background,7,wallclock,ppn18,limousine,0
D:\Yannick\taak_Noor\humanstim\humanstim\628\e8\t_background\loc4\image008.png,628,e8,t_background,4,cab,ppn18,limousine,0
D:\Yannick\taak_Noor\humanstim\humanstim\628\e9\w_background\loc8\image013.png,628,e9,w_background,8,cab,ppn18,limousine,0
D:\Yannick\taak_Noor\humanstim\humanstim\633\e1\a_background\loc7\image164.png,633,e1,a_background,7,loudspeaker,ppn18,loudspeaker,1
D:\Yannick\taak_Noor\humanstim\humanstim\633\e2\t_background\loc9\image033.png,633,e2,t_background,9,microwave,ppn18,loudspeaker,0
D:\Yannick\taak_Noor\humanstim\humanstim\633\e3\w_background\loc2\image069.png,633,e3,w_background,2,microwave,ppn18,loudspeaker,0
D:\Yannick\taak_Noor\humanstim\humanstim\633\e4\a_background\loc3\image102.png,633,e4,a_background,3,loudspeaker,ppn18,loudspeaker,1
D:\Yannick\taak_Noor\humanstim\humanstim\633\e5\t_background\loc5\image018.png,633,e5,t_background,5,loudspeaker,ppn18,loudspeaker,1
D:\Yannick\taak_Noor\humanstim\humanstim\633\e6\w_background\loc6\image069.png,633,e6,w_background,6,loudspeaker,ppn18,loudspeaker,1
D:\Yannick\taak_Noor\humanstim\humanstim\633\e7\a_background\loc8\image169.png,633,e7,a_background,8,dishwasher,ppn18,loudspeaker,0
D:\Yannick\taak_Noor\humanstim\humanstim\633\e8\t_background\loc4\image069.png,633,e8,t_background,4,loudspeaker,ppn18,loudspeaker,1
D:\Yannick\taak_Noor\humanstim\humanstim\633\e9\w_background\loc1\image069.png,633,e9,w_background,1,chinacabinet,ppn18,loudspeaker,0
D:\Yannick\taak_Noor\humanstim\humanstim\638\e1\a_background\loc3\image093.png,638,e1,a_background,3,screen,ppn18,mailbox,0
D:\Yannick\taak_Noor\humanstim\humanstim\638\e2\t_background\loc2\image020.png,638,e2,t_background,2,pirateship,ppn18,mailbox,0
D:\Yannick\taak_Noor\humanstim\humanstim\638\e3\w_background\loc5\image018.png,638,e3,w_background,5,mailbox,ppn18,mailbox,1
D:\Yannick\taak_Noor\humanstim\humanstim\638\e4\a_background\loc8\image087.png,638,e4,a_background,8,mailbox,ppn18,mailbox,1
D:\Yannick\taak_Noor\humanstim\humanstim\638\e5\t_background\loc7\image018.png,638,e5,t_background,7,pirateship,ppn18,mailbox,0
D:\Yannick\taak_Noor\humanstim\humanstim\638\e6\w_background\loc1\image018.png,638,e6,w_background,1,chinacabinet,ppn18,mailbox,0
D:\Yannick\taak_Noor\humanstim\humanstim\638\e7\a_background\loc9\image067.png,638,e7,a_background,9,mailbox,ppn18,mailbox,1
D:\Yannick\taak_Noor\humanstim\humanstim\638\e8\t_background\loc4\image014.png,638,e8,t_background,4,mailbox,ppn18,mailbox,1
