obj_code,exemplar,background,location_index,shuffle,clicked,participant,correct_answer,corr_count
780,e3,t_background,7,0.952133221,limousine,ppn17,schoolbus,0
783,e2,w_background,1,0.1922546576,screen,ppn17,screen,1
783,e7,a_background,4,0.3844646829,speedboat,ppn17,screen,0
783,e9,t_background,3,0.4639879927,screen,ppn17,screen,1
783,e6,t_background,8,0.5220966147,printer,ppn17,screen,0
783,e1,a_background,6,0.5565426691,screen,ppn17,screen,1
783,e3,t_background,2,0.5948903171,screen,ppn17,screen,1
783,e8,w_background,5,0.6011591653,screen,ppn17,screen,1
783,e4,a_background,7,0.6393414921,screen,ppn17,screen,1
783,e5,w_background,9,0.8130850299,screen,ppn17,screen,1
815,e1,a_background,9,0.268344576,wallclock,ppn17,speedboat,0
815,e3,t_background,6,0.2839517734,pirateship,ppn17,speedboat,0
815,e4,a_background,7,0.2948973593,loudspeaker,ppn17,speedboat,0
815,e7,a_background,4,0.3106177813,acousticguitar,ppn17,speedboat,0
815,e6,t_background,8,0.325984888,printer,ppn17,speedboat,0
815,e9,t_background,1,0.3791762388,airliner,ppn17,speedboat,0
815,e5,w_background,2,0.4587857562,speedboat,ppn17,speedboat,1
815,e2,w_background,3,0.8793002196,speedboat,ppn17,speedboat,1
815,e8,w_background,5,0.9525515645,speedboat,ppn17,speedboat,1
818,e1,a_background,7,0.0465659735,chinacabinet,ppn17,sportscar,0
818,e4,a_background,5,0.2072751888,sportscar,ppn17,sportscar,1
818,e3,t_background,6,0.4686317114,speedboat,ppn17,sportscar,0
818,e9,t_background,3,0.4945011641,airliner,ppn17,sportscar,0
818,e7,a_background,4,0.571630951,rockingchair,ppn17,sportscar,0
818,e2,w_background,2,0.5752621745,sportscar,ppn17,sportscar,1
818,e5,w_background,8,0.6957150118,sportscar,ppn17,sportscar,1
818,e8,w_background,1,0.762870671,sportscar,ppn17,sportscar,1
818,e6,t_background,9,0.8514794749,schoolbus,ppn17,sportscar,0
847,e1,a_background,4,0.0180062504,grandpiano,ppn17,tablelamp,0
847,e9,t_background,2,0.1045664725,tablelamp,ppn17,tablelamp,1
847,e7,a_background,8,0.2178981082,acousticguitar,ppn17,tablelamp,0
847,e2,w_background,7,0.2768086802,tablelamp,ppn17,tablelamp,1
847,e4,a_background,3,0.3068541279,tablelamp,ppn17,tablelamp,1
847,e3,t_background,6,0.5550245892,tablelamp,ppn17,tablelamp,1
847,e8,w_background,1,0.6319263118,tablelamp,ppn17,tablelamp,1
847,e6,t_background,5,0.8250702782,tablelamp,ppn17,tablelamp,1
847,e5,w_background,9,0.9123156767,tablelamp,ppn17,tablelamp,1
893,e5,w_background,5,0.1398647116,wallclock,ppn17,wallclock,1
893,e8,w_background,7,0.2373415455,wallclock,ppn17,wallclock,1
893,e1,a_background,3,0.3721129381,wallclock,ppn17,wallclock,1
893,e6,t_background,4,0.6533711699,wallclock,ppn17,wallclock,1
893,e2,w_background,9,0.7226035142,wallclock,ppn17,wallclock,1
893,e7,a_background,8,0.7634775615,wallclock,ppn17,wallclock,1
893,e4,a_background,2,0.8392684233,wallclock,ppn17,wallclock,1
893,e3,t_background,1,0.9892040807,wallclock,ppn17,wallclock,1
893,e9,t_background,6,0.9961877023,wallclock,ppn17,wallclock,1
